incident_num,MMSI,vessel_name,vessel_class_from_ais,source,reference_key,report_based_incident_description,report_start_date_of_interest_hst,report_end_date_of_interest_hst,report_incident_time_of_interest_hst,report_vessel_role,report_vessel_class,report_location,ais_incident_start_bound_hst,ais_incident_end_bound_hst,ais_incident_type,ais_incident_evidence,ais_availability_description
1,367514890,IRON LADY,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.01.09,The report mentioned that a sister vessel towed the SEEKER II back to Honolulu Harbor. Visual inspection of the spatiotemporal AIS data clearly indicates that this sister vessel was the IRON LADY. ,,,,Helper vessel,Commercial fishing vessel,,2017-01-07 23:58:51-10:00,2017-01-09 16:57:07-10:00,Irregular tow,High evidence,"For the Seeker II loss of propulsion incident, the report claims the event took place on 1/9/2017 at 1:00 HST, approximately 147 nm south of Oahu. The report also indicates that the vessel was towed back to Honolulu Harbor by a sister vessel, but does not state which sister vessel this was. By examining the trajectories at the alleged time of the incident, we can clearly see that the tow vessel was the IRON LADY. Spatiotemporally concurrent data points between the SEEKER II and the IRON LADY appear in the AIS dataset starting almost precisely at 0:00 HST on 1/8/2017. These points came south of Oahu, as suggested in the report. However, it is clear that the tow was already taking place at the time of the alleged loss of propulsion event. Since the event was reported a week after the alleged took place (on 1/17/2017) the most logical conclusion would be that the precise time of the event was inaccurately reported and that it took place outside of the coastal bounding box. "
1,367137680,THE SEEKER II,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.01.09,"Vessel's piston connecting rod broke through the engine block, resulting in loss of propulsion and need for tow. ",2017-01-09,,2017-01-09 01:00:00-10:00,"Material failure, Loss of propulsion",Commercial fishing vessel,147 nm south of Oahu,2017-01-08 01:36:56-10:00,2017-01-09 16:56:18-10:00,Irregular tow,High evidence,"For the Seeker II loss of propulsion incident, the report claims the event took place on 1/9/2017 at 1:00 HST, approximately 147 nm south of Oahu. The report also indicates that the vessel was towed back to Honolulu Harbor by a sister vessel, but does not state which sister vessel this was. By examining the trajectories at the alleged time of the incident, we can clearly see that the tow vessel was the IRON LADY. Spatiotemporally concurrent data points between the SEEKER II and the IRON LADY appear in the AIS dataset starting almost precisely at 0:00 HST on 1/8/2017. These points came south of Oahu, as suggested in the report. However, it is clear that the tow was already taking place at the time of the alleged loss of propulsion event. Since the event was reported a week after the alleged took place (on 1/17/2017) the most logical conclusion would be that the precise time of the event was inaccurately reported and that it took place outside of the coastal bounding box. "
2,366792000,MATSON NAVIGATOR,Cargo,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.01.13,"Starboard boiler flamed out due to soot build up on the flame igniter, effort to light the upper burner failed, and both boilers shut down, landing to a total loss of propulsion. The MATSON NAVIGATOR had to be towed back to Pier 2. ",2017-01-13,,2017-01-13 08:00:00-10:00,"Material failure, Loss of propulsion",Steam Ship,Outbound of Honolulu Harbor,2017-01-13 06:01:56-10:00,2017-01-13 09:58:54-10:00,Loss/reduction of propulsion,High evidence,"
Note in the spatial visualization of this data the cluster of points on the way out of honolulu harbor. This is also reflected in the speed profile, where the vessel appeared to start to get underway and then stopped for some time, eventually getting up to speed later in the day. This is consistent with the description in the Notes."
3,367479170,CAPTAIN D,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.01.10,"While conducting commercial fishing operations, the CAPTAIN D's fuel pump failed resulting in a loss of propulsion. The operator arranged a tow back to the port of honolulu. ",2017-01-10,,2017-01-10 10:00:00-10:00,"Equipment failure, Loss of propulsion",Commercial fishing vessel,400 nm N of Oahu,2017-01-14 11:28:31-10:00,2017-01-17 12:58:06-10:00,Irregular tow,High evidence,"The report does not list the name of the vessel that towed the CAPTAIN D back to honolulu, and the AIS does not have any visible vessel that could qualify as a tow. The CAPTAIN D itself is available returning to Honolulu from 1/14-1/17 in the AIS data (the event is outside of the coastal bounding box). Note that there is a distinctly unusual pattern at the end of this trajectory, where for most of 1/16 the vessel loops in a wide triangle south of Oahu. "
4,367196000,MOKIHANA,Cargo,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.02.15.1,Vessel temporarily lost steering for less than a minute while waiting at the mouth of Honolulu Harbor for Pier space to become available.,2017-02-15,,2017-02-15 17:31:00-10:00,"Material failure, Loss of maneauverability",Motor vessel,Mouth of Honolulu Harbor,2017-02-15 16:05:26-10:00,2017-02-15 20:32:35-10:00,Loss of steering/maneuverability,Good evidence,"The AIS points for the Mokihana are available at the time specified by the IIR report. Note that the anomaly is on a small scale, since the steering was lost for less than a minute, but there does seem to be an irregular trajectory shape outside of the harbor at the reported time. This likely corresponds to the loss of steering. "
5,367598710,OCEAN SPRINGS,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.02.15.2,"The OCEAN SPRINGS sustained a broken shaft, rendering the propeller inoperable and causing a total loss of propulsion. The MISS JULIE (not in the data for this event) towed the OCEAN SPRINGS back to Honolulu Harbor.",2017-02-15,,2017-02-15 08:00:00-10:00,"Material failure, Loss of propulsion",Commercial fishing vessel,,2017-02-17 06:19:24-10:00,2017-02-18 10:58:14-10:00,Irregular tow,High evidence,"The end of the irregular tow back to harbor is available for the OCEAN SPRINGS. The event appears to have occurred out of range. The helper tow vessel, the MISS JULIE, is not available in the AIS for the associated time. "
6,367732990,CAPT MILLIONS III,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.02.22,The CGC GALVESTON ISLAND (not in the data for this day) conducted an at sea boarding on the CAPT MILLIONS III where the law enforcement discovered excess oily waste in the engine room bilge and a way to discharge directly to sea. They terminated the CAPT MILLIONS III's voyage and ordered them to return to port. The crew admitted to routinely discharging engine room bilge waste to sea,2017-02-22,,,"Pollution, Alleged violations of law",Commercial fishing vessel,Outbound of Honolulu Harbor,2017-02-22 07:56:05-10:00,2017-02-22 13:58:43-10:00,"Boarding, Pollution",High evidence,"When the spatial data is animated, you can see the Capt Millions preparing to leave the harbor, and then returning after reaching the mouth of the harbor. This route deviation is due to the CGC Galveston island (not in the data for this day) boarding the CAPT MILLIONS III and terminating."
7,367007920,SALISHAN,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.03.03,"While towing the barge WAIALEALE, the SHALISHAN began taking on water. Port main engine's shaft was flowing water through its packing. The master turned the tug and tow around to head back to Hawaii, requesting aid, but eventually decided the rewatering pumps were sufficient to get back to harbor. MIKI HANA and TIRA LANI moored the WAIALEALE at Pier 2 and escorted the SALISHAN to Pier 20. ",2017-03-03,,,"Material failure, Flooding",Tow vessel,"7 nm SW of Pearl Harbor, Oahu",2017-03-02 20:00:46-10:00,2017-03-03 01:58:38-10:00,"Flooding, Route deviation",High evidence,"Though the report was received by the US Coast Guard on 3/3/2017, the turn around event is clearly evident in the data late in the evening of 3/2/2017. The SALISHAN left port, heading SW and was indeed SW of Pearl Harbor when it turned around and returned to Port. The TIRA LANI and MIKI HANA are available in conjunction with the SALISHAN when it reached harbor. "
7,367008740,MIKI HANA,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.03.03,Assist tug that helped the WAIALEALE and SHALISHAN safely moor,2017-03-03,,,Helper vessel,Tug,,2017-03-02 23:00:03-10:00,2017-03-03 02:29:02-10:00,Helper tow,High evidence,"Though the report was received by the US Coast Guard on 3/3/2017, the turn around event is clearly evident in the data late in the evening of 3/2/2017. The SALISHAN left port, heading SW and was indeed SW of Pearl Harbor when it turned around and returned to Port. The TIRA LANI and MIKI HANA are available in conjunction with the SALISHAN when it reached harbor. "
7,367420170,TIRA LANI,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.03.03,Assist tug that helped the WAIALEALE and SHALISHAN safely moor,2017-03-03,,,Helper vessel,Tug,,2017-03-02 23:00:24-10:00,2017-03-03 02:28:55-10:00,Helper tow,High evidence,"Though the report was received by the US Coast Guard on 3/3/2017, the turn around event is clearly evident in the data late in the evening of 3/2/2017. The SALISHAN left port, heading SW and was indeed SW of Pearl Harbor when it turned around and returned to Port. The TIRA LANI and MIKI HANA are available in conjunction with the SALISHAN when it reached harbor. "
